title,true_label,final_prediction,z_label,z_reason,a_final,b_final,num_debate_turns
Sessions asks 46 Obama-era U.S. attorneys to resig...,real,real,pass,"Supported by credible sources (Reuters, The Hill, Politico) confirming the event....",real,real,2
OKLAHOMA LAWMAKER BLASTED FOR SAYING: “Shouldn’t M...,fake,fake,fake,No credible sources support the claim; it appears sensational and lacks verification....,no_debate,no_debate,0
 Hateful Klansman Praises GOP Ticket For What They...,fake,fake,fake,"No credible sources support the claim, and it lacks context or evidence....",no_debate,no_debate,0
Clinton's charity confirms Qatar's $1 million gift...,real,real,pass,Supported by credible sources (Reuters) confirming the $1 million gift from Qatar to the Clinton Fou...,real,real,2
Briton in Trump gun incident could die in U.S. pri...,real,real,pass,"The claim is supported by credible sources such as Reuters and BBC, which report on the incident inv...",real,real,2
"Trump's net worth dwindled to $3.5 billion, Forbes...",real,real,pass,"Claim is supported by credible sources (Reuters, Yahoo Finance) reporting on Trump's net worth as st...",real,real,2
 Disrespectful Prick Ted Cruz Will Snub President ...,fake,fake,fake,The claim uses sensational language ('Disrespectful Prick') and lacks credible sources to support th...,no_debate,no_debate,0
 WATCH: Trump Assumes Black Reporter Can Set Up A ...,fake,fake,pass,"The claim is supported by credible sources, including Politico, which reports that Trump asked a bla...",fake,fake,2
Kremlin says allegations it hacked U.S. Democratic...,real,fake,pass,"Claim is supported by credible sources (CNBC, Reuters, Hindustan Times) reporting on the Kremlin's d...",fake,real,6
Supreme Court's Gorsuch criticized over Trump hote...,real,real,pass,"Supported by credible sources (Reuters, NYT, NPR) confirming Gorsuch's criticism over his speech at ...",real,real,2
"U.S. bombers, fighter jets in bombing drill over K...",real,real,pass,"Supported by credible sources (Reuters, AP, Newsweek) confirming U.S. bombers and fighter jets parti...",real,real,2
Brazil struggles to help state dependent on Venezu...,real,real,pass,Supported by credible source (Reuters) detailing Brazil's struggles with power outages linked to dep...,real,real,2
 People Are Now Hilariously Trolling Marco Rubio B...,fake,fake,pass,"The claim is supported by credible sources, including CBS News and The Week, which report on protest...",fake,fake,2
 People Who Read This Wildly Popular Book Are Some...,fake,fake,fake,The claim lacks credible evidence and is based on sensational language ('biggest Trump haters') with...,no_debate,no_debate,0
 Martin ‘Pharma Bro’ Shkreli Gets ROYALLY Owned On...,fake,fake,fake,The claim uses sensational language ('ROYALLY Owned') and lacks credible evidence or context regardi...,no_debate,no_debate,0
WOW! Hillary’s VP Pick Tim Kaine Gets Only 30 Peop...,fake,fake,fake,The claim about Tim Kaine attracting only 30 people at a rally is not supported by credible sources;...,no_debate,no_debate,0
SENIOR CIA INTEL: “Wiretapping of Trump Transition...,fake,fake,fake,Claim lacks credible sources and uses sensational language ('Worse Than Watergate')....,no_debate,no_debate,0
WATCH BILL O’REILLY’S EXCLUSIVE INTERVIEW With Pre...,fake,real,pass,The claim about Bill O'Reilly's exclusive interview with President Trump is supported by a video lin...,real,real,2
GQ Magazine Pens Repulsive Article On Brilliant Ne...,fake,fake,fake,"The claim originates from unverified sources and uses sensational language ('Repulsive Article', 'F*...",no_debate,no_debate,0
Israel's Netanyahu expresses hope for U.S. peace p...,real,real,pass,"Supported by credible sources (Reuters, Jerusalem Post) confirming Netanyahu's expression of hope fo...",real,real,2
YOUR TAX DOLLARS PROVIDE THIS ASST PROFESSOR A CAP...,fake,fake,fake,The claim contains sensational language and lacks credible evidence or sources to support the assert...,no_debate,no_debate,0
 Racist Donald Trump Actually Has The NERVE To Spe...,fake,fake,pass,"The claim discusses Donald Trump's racial views, which are documented in credible sources like Wikip...",fake,fake,2
"In western Moscow, Putin allies lose an election b...",real,fake,pass,Claim is supported by credible sources (Reuters) detailing the loss of a local council election by P...,fake,real,6
"New York, other states take on Trump over energy e...",real,real,pass,"Supported by credible sources (Reuters, Michigan Advance) confirming the legal challenge by New York...",real,real,2
 Comedy Central’s Roast Of Rob Lowe HIJACKED As Co...,fake,fake,pass,"The claim is supported by credible sources, including The Hollywood Reporter, which confirms that du...",fake,fake,2
